City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Porto Novo,BR,2019-11-08 08:23:49,-23.68,-45.44,68.0,88,75,2.24
173,Lompoc,US,2019-11-08 08:23:49,34.64,-120.46,53.6,100,90,8.93
174,Castro,CL,2019-11-08 08:23:49,-42.48,-73.76,36.48,85,100,2.77
175,Impfondo,CD,2019-11-08 08:23:49,1.62,18.06,89.74,47,0,3.67
176,Caravelas,BR,2019-11-08 08:23:50,-17.73,-39.27,71.24,90,8,7.99
177,Sapa,PH,2019-11-08 08:23:50,14.32,120.76,86.0,74,75,4.7
178,Yeroham,IL,2019-11-08 08:23:50,30.99,34.93,77.59,26,0,6.04
179,Axim,GH,2019-11-08 08:23:51,4.87,-2.24,85.3,68,94,3.67
180,La Ronge,CA,2019-11-08 08:23:51,55.1,-105.3,17.6,72,90,6.93
181,Choya,RU,2019-11-08 08:23:51,52.01,86.55,41.11,62,100,5.55
182,San Cristobal,HN,2019-11-08 08:23:52,14.68,-86.92,64.18,98,65,2.73
183,Rorvik,NO,2019-11-08 08:23:52,64.86,11.24,23.0,92,4,4.7
184,Geraldton,CA,2019-11-08 08:23:53,49.72,-86.95,10.4,72,90,4.7
185,Kudahuvadhoo,MV,2019-11-08 08:23:54,2.67,72.89,82.2,77,9,14.38
186,Nome,US,2019-11-08 08:23:54,30.04,-94.42,60.8,100,90,9.17
187,Husavik,CA,2019-11-08 08:23:54,50.56,-96.99,16.07,74,96,12.97
188,Esperance,AU,2019-11-08 08:23:54,-33.86,121.89,68.0,56,0,19.46
189,Kavieng,PG,2019-11-08 08:23:55,-2.57,150.8,84.22,74,71,9.28
190,Bluff,AU,2019-11-08 08:23:55,-23.58,149.07,85.95,12,0,12.68
191,Karambakkudi,IN,2019-11-08 08:23:55,10.08,78.99,88.45,57,15,13.62
192,Bredasdorp,ZA,2019-11-08 08:23:55,-34.53,20.04,66.2,52,75,9.17
193,Kainantu,PG,2019-11-08 08:23:56,-6.29,145.87,59.61,99,100,0.72
194,Neman,US,2019-11-08 08:23:56,32.58,-85.98,60.8,93,90,10.29
195,Pudozh,RU,2019-11-08 08:23:56,61.81,36.54,18.73,86,98,5.79
196,Ostersund,SE,2019-11-08 08:23:57,63.18,14.64,24.8,92,75,6.93
197,Dharampuri,IN,2019-11-08 08:23:57,22.17,75.35,87.44,50,0,4.56
198,Poopo,BO,2019-11-08 08:23:57,-18.38,-66.97,47.86,67,97,3.33
199,Coihaique,CL,2019-11-08 08:23:57,-45.58,-72.07,37.4,93,100,3.36
200,Eau Claire,US,2019-11-08 08:23:58,44.81,-91.5,8.6,78,1,3.36
