City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Mae Sai,MM,71.6,Scattered clouds,20.44,99.89,Piyaporn Hill Paradise Hotel
205,Safford,US,66.2,Clear sky,32.83,-109.71,SpringHill Suites by Marriott Thatcher
206,Arraial Do Cabo,BR,80.6,Broken clouds,-22.97,-42.02,Pousada Porto Praia
208,Coihaique,CL,60.8,Overcast clouds,-45.58,-72.07,Diego De Almagro Coyhaique
212,Maceio,BR,84.2,Scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
213,Yanam,IN,67.57,Broken clouds,16.73,82.22,The Regency Hotel
222,Taoudenni,ML,75.43,Overcast clouds,22.68,-3.98,
223,Kapaa,US,77.0,Clear sky,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
226,Katherine,AU,82.4,Few clouds,-14.47,132.26,Pine Tree Motel
227,Pisco,PE,71.6,Clear sky,-13.71,-76.2,Hostal San Isidro Oficial
231,Sao Paulo De Olivenca,BR,84.9,Overcast clouds,-3.38,-68.87,
235,Lalsot,IN,73.4,Haze,26.56,76.33,DR SAINI
236,Namatanai,PG,83.53,Overcast clouds,-3.66,152.44,Namatanai Hotel
247,Champerico,MX,86.0,Scattered clouds,16.38,-93.6,
250,Lugoba,TZ,73.56,Broken clouds,-6.46,38.33,
251,Djibo,BF,86.5,Clear sky,14.1,-1.63,Centre Des Ressources DPENA
252,Guerrero Negro,MX,79.83,Clear sky,27.97,-114.04,The Halfway Inn
253,Victoria,BN,75.2,Light rain,5.28,115.24,Tiara Labuan Hotel
254,Krk,HR,60.01,Overcast clouds,45.03,14.57,Valamar Koralj Hotel
260,Waipawa,NZ,67.86,Broken clouds,-39.94,176.59,T A Commercial Hotel
262,Nisia Floresta,BR,86.0,Few clouds,-6.09,-35.21,Rancho Crepusculo
264,Jalu,LY,66.9,Clear sky,29.03,21.55,Jalu Hotel
265,Ambilobe,MG,77.52,Broken clouds,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
268,Padang,ID,66.61,Overcast clouds,-0.92,100.36,Mercure Padang
270,Edd,ER,86.34,Clear sky,13.93,41.69,
272,La Orilla,MX,88.92,Clear sky,18.0,-102.23,City Express Lázaro Cárdenas
273,Wajir,KE,80.6,Few clouds,1.75,40.07,Wajir Palace Hotel
274,Grand Gaube,MU,69.8,Few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
276,Camacupa,AO,67.66,Overcast clouds,-12.02,17.48,
279,Honiara,SB,73.4,Scattered clouds,-9.43,159.96,Heritage Park Hotel
280,Gizo,IL,72.0,Clear sky,31.8,34.94,בקתות לשקיעה
281,Lingao,CN,74.77,Clear sky,19.91,109.69,Lingao Ditai Inn
284,Vila Velha,BR,86.0,Broken clouds,-3.71,-38.6,Hotel Iparana Paradise
285,Pingshan,CN,60.75,Overcast clouds,28.83,104.35,Famous Hotel
287,Roebourne,AU,77.5,Broken clouds,-20.77,117.15,Harding River Caravan Park
288,Lompoc,US,81.0,Clear sky,34.64,-120.46,Holiday Inn Express Lompoc
